customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
C00000,Male,0,Yes,No,38,Yes,No,Fiber optic,No internet service,Yes,No internet service,No,No internet service,Yes,Month-to-month,Yes,Mailed check,117.1,5954.658835164603,No
C00001,Female,0,No,No,4,No,No,DSL,No internet service,No,No,No,No internet service,Yes,Month-to-month,Yes,Electronic check,70.35,3613.1043915723553,No
C00002,Male,1,No,Yes,64,Yes,No phone service,Fiber optic,No internet service,No,No internet service,No internet service,Yes,Yes,Month-to-month,Yes,Electronic check,38.47,5624.674903646311,No
C00003,Male,0,Yes,Yes,12,Yes,Yes,DSL,Yes,Yes,No internet service,Yes,Yes,Yes,One year,Yes,Bank transfer,51.48,2683.707820718328,No
C00004,Male,0,Yes,No,52,Yes,No,No,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer,51.03,5257.592145562409,No
C00005,Female,0,No,No,44,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,Two year,No,Bank transfer,19.97,4542.557440602867,No
C00006,Male,1,No,Yes,31,Yes,No phone service,DSL,No,No,Yes,Yes,No internet service,Yes,Two year,Yes,Bank transfer,31.52,212.3173453978832,No
C00007,Male,0,No,No,35,Yes,Yes,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,No,Electronic check,87.52,6857.766284190045,No
C00008,Male,0,No,Yes,59,Yes,No,Fiber optic,Yes,No internet service,Yes,No internet service,Yes,No internet service,Month-to-month,No,Credit card,30.03,103.18989906223464,No
C00009,Female,0,No,No,10,Yes,No,Fiber optic,No,Yes,Yes,No internet service,No internet service,Yes,Month-to-month,No,Bank transfer,41.07,2542.5414871628864,No
C00010,Male,0,Yes,Yes,62,Yes,Yes,DSL,Yes,No,No,Yes,No,No,Month-to-month,No,Electronic check,53.07,51.37941968256255,No
C00011,Male,1,Yes,No,20,Yes,Yes,DSL,Yes,No,Yes,Yes,No internet service,Yes,One year,Yes,Mailed check,93.77,3262.7948575092537,No
C00012,Male,0,Yes,No,51,Yes,No,DSL,Yes,No,Yes,Yes,No internet service,No internet service,Month-to-month,Yes,Credit card,76.24,547.7912607675802,No
C00013,Male,0,No,No,54,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,One year,Yes,Credit card,86.9,7922.880615327355,No
C00014,Female,1,Yes,Yes,25,Yes,Yes,No,No,No,Yes,Yes,Yes,No internet service,Month-to-month,Yes,Electronic check,74.7,3605.1865269475593,No
C00015,Male,0,No,Yes,67,Yes,Yes,DSL,No,No,No,Yes,No internet service,No,Month-to-month,No,Bank transfer,86.36,3985.2068553990284,No
C00016,Female,0,No,No,33,Yes,Yes,No,No,Yes,No,No internet service,No internet service,Yes,Month-to-month,No,Electronic check,18.28,3034.2510976159842,No
C00017,Female,0,No,No,51,Yes,No,DSL,Yes,Yes,No,No internet service,Yes,No internet service,Month-to-month,No,Electronic check,111.09,5442.360875391919,Yes
C00018,Female,0,Yes,No,51,Yes,No,Fiber optic,Yes,No,No internet service,Yes,No internet service,No,Month-to-month,Yes,Bank transfer,29.09,6803.1715954296815,No
C00019,Male,0,No,Yes,28,Yes,Yes,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,No,Bank transfer,58.62,5621.3767024637855,No
C00020,Female,0,Yes,No,37,Yes,Yes,No,No,Yes,No,No,Yes,No,Two year,Yes,Credit card,95.1,6489.200337840941,No
C00021,Male,0,No,No,41,No,Yes,DSL,No,Yes,No,Yes,No internet service,No internet service,Two year,Yes,Mailed check,61.52,7857.509583615816,No
C00022,Female,1,Yes,No,20,Yes,Yes,Fiber optic,Yes,Yes,No internet service,No,Yes,No,Month-to-month,Yes,Electronic check,112.68,7489.539069186301,No
C00023,Female,1,Yes,Yes,41,Yes,No,DSL,No internet service,No,No internet service,No,No internet service,Yes,Month-to-month,No,Mailed check,64.76,5846.108960732804,No
C00024,Female,0,No,No,12,No,Yes,DSL,Yes,No,No internet service,No internet service,Yes,No,Month-to-month,Yes,Electronic check,105.49,1861.5550522701092,No
C00025,Female,0,Yes,Yes,63,Yes,Yes,DSL,No,No internet service,No,No,No,No,Month-to-month,No,Electronic check,99.08,5530.796827086649,No
C00026,Female,0,Yes,Yes,16,Yes,No,Fiber optic,No,No internet service,Yes,No,Yes,No internet service,Month-to-month,No,Electronic check,116.1,4389.258689357451,No
C00027,Female,0,No,No,8,Yes,Yes,DSL,No,No,Yes,No,No,No,Month-to-month,No,Mailed check,110.65,6220.442390553373,No
C00028,Female,0,No,Yes,40,No,No,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Electronic check,107.81,7224.016186511751,Yes
C00029,Female,0,No,No,0,Yes,No,DSL,No,Yes,No internet service,No,Yes,No internet service,Month-to-month,No,Bank transfer,91.16,6441.623545097798,No
C00030,Male,1,No,No,1,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,No,Electronic check,54.7,7342.225027074227,No
C00031,Male,0,No,No,59,Yes,No,DSL,Yes,No internet service,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,28.61,553.9130559866999,No
C00032,Female,0,Yes,No,47,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,No,One year,Yes,Bank transfer,86.86,274.2405916335249,No
C00033,Female,0,Yes,Yes,28,Yes,No,No,Yes,Yes,No internet service,Yes,No internet service,No,Month-to-month,Yes,Electronic check,115.87,2241.975423658578,Yes
C00034,Female,0,Yes,No,9,Yes,No,Fiber optic,No internet service,No,Yes,No internet service,Yes,Yes,Month-to-month,Yes,Bank transfer,90.66,7811.476947474133,No
C00035,Male,0,No,No,57,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,No,One year,Yes,Electronic check,110.87,7143.596683784005,No
C00036,Female,0,No,Yes,59,Yes,No,DSL,No internet service,No,No,Yes,No,Yes,Two year,No,Mailed check,98.43,5921.293853778738,No
C00037,Male,0,Yes,No,20,Yes,No,Fiber optic,No,Yes,No,No,No,No,Two year,Yes,Electronic check,34.31,6077.679922704656,No
C00038,Male,0,Yes,Yes,27,Yes,Yes,DSL,No internet service,No internet service,No,No,Yes,No,One year,Yes,Electronic check,42.92,6302.412979876477,No
C00039,Male,0,No,Yes,33,Yes,Yes,DSL,No internet service,No,No internet service,Yes,No,Yes,Month-to-month,No,Bank transfer,52.19,8175.19322130421,No
C00040,Male,0,Yes,No,7,Yes,Yes,Fiber optic,No,Yes,Yes,No internet service,No,Yes,One year,Yes,Credit card,34.83,7217.593863963447,No
C00041,Male,0,No,Yes,58,Yes,No,No,Yes,No internet service,No,No internet service,No,Yes,Two year,No,Electronic check,76.17,5406.664826685583,No
C00042,Female,0,No,No,71,Yes,No,DSL,Yes,Yes,No,No,No internet service,No internet service,Month-to-month,Yes,Mailed check,115.55,5773.74996998518,No
C00043,Female,0,No,No,48,Yes,No phone service,Fiber optic,Yes,No internet service,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer,94.15,1853.7692928561107,No
C00044,Female,0,Yes,No,16,Yes,No,Fiber optic,No,No internet service,No internet service,Yes,Yes,Yes,Two year,Yes,Mailed check,60.34,5700.926170580351,No
C00045,Female,0,No,Yes,59,Yes,No,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Credit card,18.45,3683.241074705291,Yes
C00046,Female,0,No,Yes,44,Yes,Yes,DSL,Yes,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,49.33,1326.6383037636153,Yes
C00047,Male,0,No,Yes,68,Yes,No,DSL,No,Yes,No internet service,Yes,Yes,Yes,Month-to-month,No,Credit card,70.68,6993.931651325539,No
